transaction_id,timestamp,department_id,vendor_id,vendor_category,amount,payment_method,description,approver_id,budget_code,vendor_id_original
LTX-00016,2025-12-23T13:43:00,DEP-POLICE,VEN-019,Travel,1174.24,Credit Card,Description for LTX-00016,A-05,B-180,VEN-035
LTX-00017,2025-07-22T15:24:00,DEP-POLICE,VEN-019,Consulting,938.5,Bank Transfer,Description for LTX-00017,A-06,B-360,VEN-036
LTX-00018,2025-05-12T18:38:00,DEP-HEALTH,VEN-019,Travel,1375.42,Cheque,Description for LTX-00018,A-00,B-627,VEN-033
LTX-00019,2025-05-16T19:59:00,DEP-POLICE,VEN-019,Consulting,152.14,Bank Transfer,Description for LTX-00019,A-04,B-140,VEN-061
LTX-00020,2025-05-14T09:39:00,DEP-HEALTH,VEN-019,Supplies,1648.4,Credit Card,Description for LTX-00020,A-09,B-885,VEN-044
LTX-00021,2025-08-13T13:15:00,DEP-EDU,VEN-019,Infrastructure,372.52,Cheque,Description for LTX-00021,A-06,B-584,VEN-075
LTX-00022,2025-06-22T05:52:00,DEP-PWR,VEN-019,Consulting,181.26,Bank Transfer,Description for LTX-00022,A-02,B-668,VEN-064
LTX-00023,2025-05-10T22:07:00,DEP-PWR,VEN-019,Consulting,100.52,Bank Transfer,Description for LTX-00023,A-02,B-597,VEN-082
LTX-00024,2025-09-08T03:36:00,DEP-EDU,VEN-019,Travel,1777.78,Bank Transfer,Description for LTX-00024,A-05,B-275,VEN-078
LTX-00025,2025-04-11T23:50:00,DEP-POLICE,VEN-019,Supplies,905.8,Bank Transfer,Description for LTX-00025,A-05,B-382,VEN-049
LTX-00026,2025-07-06T16:13:00,DEP-EDU,VEN-019,Infrastructure,1778.73,Credit Card,Description for LTX-00026,A-06,B-947,VEN-095
LTX-00027,2025-11-03T15:51:00,DEP-EDU,VEN-019,Infrastructure,304.0,Bank Transfer,Description for LTX-00027,A-05,B-223,VEN-003
LTX-00028,2025-05-16T03:33:00,DEP-PWR,VEN-019,Travel,661.03,Cheque,Description for LTX-00028,A-09,B-553,VEN-046
LTX-00029,2025-06-03T14:56:00,DEP-EDU,VEN-019,Supplies,576.18,Credit Card,Description for LTX-00029,A-03,B-994,VEN-041
LTX-00030,2025-11-17T23:07:00,DEP-PWR,VEN-019,IT,1726.26,Cheque,Description for LTX-00030,A-06,B-478,VEN-035
LTX-00031,2025-02-26T14:30:00,DEP-HEALTH,VEN-019,Supplies,1857.12,Bank Transfer,Description for LTX-00031,A-01,B-897,VEN-035
LTX-00032,2025-02-03T08:28:00,DEP-FIN,VEN-019,Infrastructure,1055.46,Bank Transfer,Description for LTX-00032,A-02,B-639,VEN-022
LTX-00033,2025-12-15T07:56:00,DEP-POLICE,VEN-019,Travel,655.55,Bank Transfer,Description for LTX-00033,A-09,B-310,VEN-017
LTX-00034,2025-09-27T11:11:00,DEP-FIN,VEN-019,IT,1566.16,Bank Transfer,Description for LTX-00034,A-03,B-903,VEN-045
LTX-00035,2025-07-23T18:26:00,DEP-POLICE,VEN-019,Infrastructure,769.86,Credit Card,Description for LTX-00035,A-09,B-982,VEN-088
LTX-00036,2025-08-14T20:29:00,DEP-HEALTH,VEN-019,Travel,457.36,Bank Transfer,Description for LTX-00036,A-03,B-710,VEN-064
LTX-00037,2025-05-13T01:15:00,DEP-POLICE,VEN-019,Consulting,677.45,Cheque,Description for LTX-00037,A-04,B-337,VEN-038
LTX-00038,2025-02-02T10:39:00,DEP-POLICE,VEN-019,IT,458.48,Cheque,Description for LTX-00038,A-06,B-150,VEN-017
LTX-00039,2025-05-04T13:32:00,DEP-EDU,VEN-019,IT,1430.65,Cheque,Description for LTX-00039,A-01,B-257,VEN-031
LTX-00040,2025-10-18T02:42:00,DEP-FIN,VEN-019,Travel,562.46,Cheque,Description for LTX-00040,A-02,B-391,VEN-055
LTX-00041,2025-01-05T15:05:00,DEP-PWR,VEN-019,Supplies,332.38,Credit Card,Description for LTX-00041,A-07,B-591,VEN-066
LTX-00042,2025-11-21T10:50:00,DEP-POLICE,VEN-019,Infrastructure,1188.41,Bank Transfer,Description for LTX-00042,A-08,B-193,VEN-074
LTX-00043,2025-11-14T03:30:00,DEP-PWR,VEN-019,IT,1617.65,Bank Transfer,Description for LTX-00043,A-00,B-591,VEN-057
LTX-00044,2025-11-26T19:03:00,DEP-FIN,VEN-019,Infrastructure,71.34,Cheque,Description for LTX-00044,A-06,B-689,VEN-060
LTX-00045,2025-10-19T12:31:00,DEP-PWR,VEN-019,Supplies,736.24,Credit Card,Description for LTX-00045,A-08,B-590,VEN-032
LTX-00046,2025-02-27T06:06:00,DEP-POLICE,VEN-019,Consulting,1582.45,Credit Card,Description for LTX-00046,A-06,B-446,VEN-064
LTX-00047,2025-12-08T02:44:00,DEP-HEALTH,VEN-019,IT,1197.17,Credit Card,Description for LTX-00047,A-00,B-798,VEN-082
LTX-00048,2025-06-17T04:29:00,DEP-PWR,VEN-019,IT,827.61,Credit Card,Description for LTX-00048,A-01,B-996,VEN-083
LTX-00049,2025-06-23T04:46:00,DEP-PWR,VEN-019,Travel,1482.73,Credit Card,Description for LTX-00049,A-02,B-461,VEN-001
LTX-00050,2025-11-11T03:35:00,DEP-POLICE,VEN-019,Travel,69.77,Bank Transfer,Description for LTX-00050,A-01,B-236,VEN-077
LTX-00051,2025-08-25T15:39:00,DEP-POLICE,VEN-019,Travel,1323.14,Bank Transfer,Description for LTX-00051,A-09,B-115,VEN-065
LTX-00052,2025-03-08T11:36:00,DEP-POLICE,VEN-019,Infrastructure,1244.33,Credit Card,Description for LTX-00052,A-07,B-246,VEN-017
LTX-00053,2025-02-14T13:41:00,DEP-PWR,VEN-019,Infrastructure,1861.85,Bank Transfer,Description for LTX-00053,A-03,B-362,VEN-091
LTX-00054,2025-06-09T09:10:00,DEP-PWR,VEN-019,Supplies,1197.32,Credit Card,Description for LTX-00054,A-00,B-327,
LTX-00055,2025-12-07T04:34:00,DEP-POLICE,VEN-019,IT,1842.53,Credit Card,Description for LTX-00055,A-04,B-952,VEN-028
LTX-00056,2025-04-20T06:06:00,DEP-HEALTH,VEN-019,Travel,1000.62,Bank Transfer,Description for LTX-00056,A-01,B-195,VEN-020
LTX-00057,2025-04-04T05:02:00,DEP-FIN,VEN-019,Infrastructure,1322.73,Credit Card,Description for LTX-00057,A-01,B-362,VEN-060
LTX-00058,2025-04-02T04:35:00,DEP-HEALTH,VEN-019,IT,12.15,Cheque,Description for LTX-00058,A-08,B-635,VEN-066
LTX-00059,2025-06-03T20:41:00,DEP-PWR,VEN-019,Consulting,709.41,Cheque,Description for LTX-00059,A-09,B-276,VEN-070
LTX-00060,2025-09-07T07:05:00,DEP-PWR,VEN-019,Travel,153.98,Cheque,Description for LTX-00060,A-09,B-782,VEN-014
LTX-00061,2025-06-05T15:58:00,DEP-HEALTH,VEN-019,IT,1123.89,Cheque,Description for LTX-00061,A-07,B-142,VEN-064
LTX-00062,2025-02-20T03:14:00,DEP-POLICE,VEN-019,IT,1917.15,Credit Card,Description for LTX-00062,A-01,B-375,VEN-087
LTX-00063,2025-08-28T05:10:00,DEP-POLICE,VEN-019,IT,470.25,Bank Transfer,Description for LTX-00063,A-08,B-215,VEN-084
LTX-00064,2025-08-31T19:09:00,DEP-FIN,VEN-019,IT,312.66,Cheque,Description for LTX-00064,A-02,B-605,VEN-056
LTX-00065,2025-06-09T04:01:00,DEP-HEALTH,VEN-019,Supplies,502.94,Cheque,Description for LTX-00065,A-01,B-423,VEN-039
LTX-00066,2025-10-24T11:49:00,DEP-FIN,VEN-019,Consulting,1001.06,Bank Transfer,Description for LTX-00066,A-05,B-552,VEN-013
LTX-00067,2025-12-08T01:38:00,DEP-EDU,VEN-019,Consulting,1285.63,Credit Card,Description for LTX-00067,A-06,B-812,VEN-024
LTX-00068,2025-03-14T13:51:00,DEP-HEALTH,VEN-019,IT,466.15,Cheque,Description for LTX-00068,A-05,B-923,VEN-031
LTX-00069,2025-01-12T16:09:00,DEP-HEALTH,VEN-019,Supplies,1776.14,Cheque,Description for LTX-00069,A-04,B-366,VEN-022
LTX-00070,2025-01-13T18:12:00,DEP-FIN,VEN-019,Travel,1275.44,Cheque,Description for LTX-00070,A-08,B-786,VEN-067
LTX-00071,2025-03-02T13:32:00,DEP-EDU,VEN-019,Consulting,737.27,Cheque,Description for LTX-00071,A-03,B-855,VEN-060
LTX-00072,2025-07-11T07:35:00,DEP-FIN,VEN-019,Travel,1603.76,Bank Transfer,Description for LTX-00072,A-04,B-410,VEN-035
LTX-00073,2025-01-05T09:01:00,DEP-POLICE,VEN-019,Consulting,25.03,Cheque,Description for LTX-00073,A-09,B-577,VEN-090
LTX-00074,2025-08-04T13:13:00,DEP-POLICE,VEN-019,Travel,727.1,Bank Transfer,Description for LTX-00074,A-07,B-299,VEN-038
LTX-00075,2025-09-03T05:56:00,DEP-FIN,VEN-019,Travel,663.2,Bank Transfer,Description for LTX-00075,A-06,B-984,VEN-070
LTX-00076,2025-05-18T18:09:00,DEP-FIN,VEN-019,Supplies,564.74,Credit Card,Description for LTX-00076,A-09,B-479,VEN-041
LTX-00077,2025-09-26T13:24:00,DEP-FIN,VEN-019,Infrastructure,1358.74,Bank Transfer,Description for LTX-00077,A-05,B-885,VEN-047
LTX-00078,2025-09-03T07:04:00,DEP-HEALTH,VEN-019,Infrastructure,1816.43,Bank Transfer,Description for LTX-00078,A-05,B-328,VEN-076
LTX-00079,2025-12-18T19:23:00,DEP-PWR,VEN-019,IT,1061.65,Cheque,Description for LTX-00079,A-04,B-295,VEN-084
LTX-00080,2025-08-05T06:34:00,DEP-POLICE,VEN-019,Travel,806.78,Cheque,Description for LTX-00080,A-09,B-871,VEN-049
LTX-00081,2025-11-07T16:52:00,DEP-HEALTH,VEN-019,IT,823.57,Cheque,Description for LTX-00081,A-01,B-919,VEN-053
LTX-00082,2025-11-15T21:29:00,DEP-PWR,VEN-019,Consulting,338.63,Cheque,Description for LTX-00082,A-08,B-297,VEN-040
LTX-00083,2025-06-09T11:59:00,DEP-POLICE,VEN-019,Supplies,1484.67,Credit Card,Description for LTX-00083,A-04,B-584,VEN-086
LTX-00084,2025-06-29T14:36:00,DEP-FIN,VEN-019,Infrastructure,261.75,Bank Transfer,Description for LTX-00084,A-07,B-890,VEN-057
LTX-00085,2025-11-01T17:08:00,DEP-EDU,VEN-019,Consulting,1916.21,Cheque,Description for LTX-00085,A-09,B-746,VEN-099
LTX-00086,2025-06-13T23:57:00,DEP-PWR,VEN-019,Infrastructure,821.69,Bank Transfer,Description for LTX-00086,A-05,B-690,VEN-054
LTX-00087,2025-07-14T08:25:00,DEP-FIN,VEN-019,Supplies,1254.44,Credit Card,Description for LTX-00087,A-04,B-430,VEN-094
LTX-00088,2025-12-10T08:53:00,DEP-EDU,VEN-019,Supplies,1912.16,Cheque,Description for LTX-00088,A-06,B-881,VEN-018
LTX-00089,2025-09-06T09:49:00,DEP-POLICE,VEN-019,Consulting,317.79,Credit Card,Description for LTX-00089,A-09,B-355,VEN-017
LTX-00090,2025-10-03T15:55:00,DEP-HEALTH,VEN-019,IT,145.44,Credit Card,Description for LTX-00090,A-05,B-948,VEN-077
LTX-00091,2025-07-03T18:11:00,DEP-EDU,VEN-019,Consulting,530.05,Credit Card,Description for LTX-00091,A-04,B-782,VEN-082
LTX-00092,2025-09-27T21:24:00,DEP-HEALTH,VEN-019,IT,1491.94,Credit Card,Description for LTX-00092,A-08,B-946,VEN-036
LTX-00093,2025-09-28T16:06:00,DEP-PWR,VEN-019,IT,1109.09,Credit Card,Description for LTX-00093,A-01,B-801,VEN-026
LTX-00094,2025-04-26T12:44:00,DEP-HEALTH,VEN-019,Travel,1822.86,Cheque,Description for LTX-00094,A-08,B-819,VEN-082
LTX-00095,2025-07-05T08:20:00,DEP-PWR,VEN-019,Consulting,630.09,Credit Card,Description for LTX-00095,A-01,B-625,VEN-065
LTX-00096,2025-06-10T12:22:00,DEP-FIN,VEN-019,Supplies,1357.71,Cheque,Description for LTX-00096,A-07,B-381,VEN-060
LTX-00097,2025-09-03T22:45:00,DEP-EDU,VEN-019,Infrastructure,1361.3,Cheque,Description for LTX-00097,A-02,B-824,VEN-040
LTX-00098,2025-11-06T18:16:00,DEP-HEALTH,VEN-019,Supplies,941.35,Credit Card,Description for LTX-00098,A-06,B-350,VEN-014
LTX-00099,2025-04-06T05:53:00,DEP-POLICE,VEN-019,Infrastructure,15.42,Bank Transfer,Description for LTX-00099,A-07,B-231,VEN-020
LTX-00100,2025-07-11T03:23:00,DEP-EDU,VEN-019,Infrastructure,68189.93,Bank Transfer,Description for LTX-00100,A-03,B-681,VEN-056
LTX-00101,2025-04-12T20:45:00,DEP-EDU,VEN-019,Consulting,828.61,Credit Card,Description for LTX-00101,A-05,B-869,VEN-029
LTX-00102,2025-11-19T20:01:00,DEP-FIN,VEN-019,Travel,1930.25,Credit Card,Description for LTX-00102,A-02,B-129,VEN-087
LTX-00103,2025-09-17T13:48:00,DEP-POLICE,VEN-019,IT,1283.85,Bank Transfer,Description for LTX-00103,A-05,B-170,VEN-075
LTX-00104,2025-05-07T20:39:00,DEP-EDU,VEN-019,Travel,1428.08,Credit Card,Description for LTX-00104,A-03,B-681,VEN-031
LTX-00105,2025-10-25T16:34:00,DEP-FIN,VEN-019,Supplies,579.68,Credit Card,Description for LTX-00105,A-03,B-639,VEN-033
LTX-00106,2025-05-20T10:54:00,DEP-POLICE,VEN-019,Infrastructure,1765.39,Credit Card,Description for LTX-00106,A-06,B-646,VEN-054
LTX-00107,2025-03-11T10:24:00,DEP-EDU,VEN-019,Infrastructure,986.82,Bank Transfer,Description for LTX-00107,A-05,B-967,VEN-009
LTX-00108,2025-10-19T00:06:00,DEP-FIN,VEN-019,Consulting,1898.3,Cheque,Description for LTX-00108,A-06,B-550,VEN-093
LTX-00109,2025-07-19T21:49:00,DEP-PWR,VEN-019,Consulting,1809.3,Credit Card,Description for LTX-00109,A-06,B-612,VEN-032
LTX-00110,2025-06-17T01:30:00,DEP-HEALTH,VEN-019,Infrastructure,126.2,Credit Card,Description for LTX-00110,A-07,B-484,VEN-061
LTX-00111,2025-09-14T07:13:00,DEP-EDU,VEN-019,Consulting,612.35,Credit Card,Description for LTX-00111,A-05,B-723,VEN-000
LTX-00112,2025-10-07T09:08:00,DEP-PWR,VEN-019,Infrastructure,1562.27,Credit Card,Description for LTX-00112,A-06,B-968,VEN-009
LTX-00113,2025-07-16T01:42:00,DEP-FIN,VEN-019,IT,799.84,Cheque,Description for LTX-00113,A-05,B-810,VEN-087
LTX-00114,2025-10-11T20:08:00,DEP-HEALTH,VEN-019,Supplies,1442.55,Bank Transfer,Description for LTX-00114,A-06,B-955,VEN-080
LTX-00115,2025-03-30T18:05:00,DEP-FIN,VEN-019,Consulting,629.28,Credit Card,Description for LTX-00115,A-01,B-931,VEN-018
LTX-00116,2025-05-12T17:37:00,DEP-PWR,VEN-019,Infrastructure,1262.29,Credit Card,Description for LTX-00116,A-09,B-585,VEN-072
LTX-00117,2025-01-04T09:20:00,DEP-PWR,VEN-019,Supplies,945.58,Cheque,Description for LTX-00117,A-04,B-567,VEN-036
LTX-00118,2025-07-08T15:20:00,DEP-FIN,VEN-019,Travel,1494.64,Credit Card,Description for LTX-00118,A-07,B-186,VEN-060
LTX-00119,2025-01-24T15:42:00,DEP-PWR,VEN-019,Consulting,1888.66,Cheque,Description for LTX-00119,A-05,B-366,VEN-042
LTX-00120,2025-08-22T05:36:00,DEP-FIN,VEN-019,Supplies,1948.15,Credit Card,Description for LTX-00120,A-08,B-224,VEN-042
LTX-00121,2025-11-02T05:02:00,DEP-HEALTH,VEN-019,Infrastructure,785.65,Cheque,Description for LTX-00121,A-05,B-859,VEN-014
LTX-00122,2025-12-24T02:31:00,DEP-PWR,VEN-019,Infrastructure,1376.5,Credit Card,Description for LTX-00122,A-06,B-366,VEN-033
LTX-00123,2025-05-10T10:28:00,DEP-PWR,VEN-019,Supplies,1083.75,Bank Transfer,Description for LTX-00123,A-06,B-830,VEN-040
LTX-00124,2025-06-28T22:26:00,DEP-FIN,VEN-019,IT,149.73,Cheque,Description for LTX-00124,A-09,B-275,VEN-051
LTX-00125,2025-12-09T20:32:00,DEP-HEALTH,VEN-019,Infrastructure,962.44,Bank Transfer,Description for LTX-00125,A-03,B-914,VEN-026
LTX-00126,2025-11-10T19:32:00,DEP-HEALTH,VEN-019,Consulting,800.33,Cheque,Description for LTX-00126,A-08,B-385,VEN-029
LTX-00127,2025-10-08T10:17:00,DEP-POLICE,VEN-019,Infrastructure,1470.88,Credit Card,Description for LTX-00127,A-00,B-905,VEN-065
LTX-00128,2025-08-05T00:38:00,DEP-POLICE,VEN-019,Supplies,909.23,Bank Transfer,Description for LTX-00128,A-04,B-517,VEN-081
LTX-00129,2025-04-11T17:29:00,DEP-FIN,VEN-019,IT,427.52,Bank Transfer,Description for LTX-00129,A-02,B-381,VEN-061
LTX-00130,2025-09-03T08:00:00,DEP-POLICE,VEN-019,Consulting,985.64,Credit Card,Description for LTX-00130,A-02,B-660,VEN-016
LTX-00131,2025-05-06T14:21:00,DEP-PWR,VEN-019,Supplies,1839.9,Cheque,Description for LTX-00131,A-02,B-434,VEN-094
LTX-00132,2025-09-19T05:51:00,DEP-POLICE,VEN-019,Travel,1637.48,Credit Card,Description for LTX-00132,A-07,B-654,VEN-030
LTX-00133,2025-02-05T04:43:00,DEP-EDU,VEN-019,Travel,1433.83,Credit Card,Description for LTX-00133,A-07,B-555,VEN-074
LTX-00134,2025-04-03T20:20:00,DEP-PWR,VEN-019,Supplies,1027.47,Cheque,Description for LTX-00134,A-06,B-261,VEN-027
LTX-00135,2025-01-23T07:11:00,DEP-HEALTH,VEN-019,Infrastructure,1446.48,Credit Card,Description for LTX-00135,A-00,B-711,VEN-059
LTX-00136,2025-03-31T18:53:00,DEP-PWR,VEN-019,Infrastructure,180.08,Bank Transfer,Description for LTX-00136,A-05,B-188,VEN-007
LTX-00137,2025-12-05T21:25:00,DEP-HEALTH,VEN-019,IT,467.45,Cheque,Description for LTX-00137,A-07,B-320,VEN-055
LTX-00138,2025-07-30T16:08:00,DEP-POLICE,VEN-019,Infrastructure,1976.77,Cheque,Description for LTX-00138,A-08,B-341,VEN-067
LTX-00139,2025-10-16T20:43:00,DEP-EDU,VEN-019,Supplies,1463.45,Credit Card,Description for LTX-00139,A-04,B-804,VEN-035
LTX-00140,2025-12-24T01:34:00,DEP-PWR,VEN-019,IT,1264.83,Cheque,Description for LTX-00140,A-08,B-160,VEN-017
LTX-00141,2025-02-01T08:35:00,DEP-PWR,VEN-019,IT,1414.23,Bank Transfer,Description for LTX-00141,A-07,B-168,VEN-045
LTX-00142,2025-04-02T08:46:00,DEP-PWR,VEN-019,Supplies,1320.65,Bank Transfer,Description for LTX-00142,A-04,B-174,VEN-053
LTX-00143,2025-04-11T23:33:00,DEP-EDU,VEN-019,Infrastructure,1211.39,Credit Card,Description for LTX-00143,A-05,B-379,VEN-006
LTX-00144,2025-03-09T11:11:00,DEP-POLICE,VEN-019,Infrastructure,1567.82,Credit Card,Description for LTX-00144,A-00,B-303,VEN-008
LTX-00145,2025-04-23T18:28:00,DEP-HEALTH,VEN-019,Infrastructure,1497.63,Bank Transfer,Description for LTX-00145,A-02,B-454,VEN-058
LTX-00146,2025-11-06T02:12:00,DEP-HEALTH,VEN-019,Travel,917.19,Credit Card,Description for LTX-00146,A-01,B-624,VEN-093
LTX-00147,2025-06-30T07:36:00,DEP-FIN,VEN-019,Travel,351.11,Bank Transfer,Description for LTX-00147,A-04,B-691,VEN-064
LTX-00148,2025-11-26T22:21:00,DEP-PWR,VEN-019,Travel,650.51,Credit Card,Description for LTX-00148,A-09,B-859,VEN-054
LTX-00149,2025-10-24T02:18:00,DEP-FIN,VEN-019,Supplies,793.05,Credit Card,Description for LTX-00149,A-02,B-771,VEN-075
LTX-00150,2025-06-10T05:18:00,DEP-HEALTH,VEN-019,Infrastructure,1527.37,Bank Transfer,Description for LTX-00150,A-08,B-870,VEN-084
LTX-00151,2025-01-19T20:10:00,DEP-POLICE,VEN-019,Consulting,1299.28,Credit Card,Description for LTX-00151,A-04,B-723,VEN-078
LTX-00152,2025-01-31T19:22:00,DEP-HEALTH,VEN-019,Travel,689.26,Cheque,Description for LTX-00152,A-07,B-257,VEN-034
LTX-00153,2025-10-23T00:03:00,DEP-EDU,VEN-019,Travel,205.48,Cheque,Description for LTX-00153,A-08,B-177,VEN-054
LTX-00154,2025-11-14T21:23:00,DEP-PWR,VEN-019,Consulting,1829.22,Credit Card,Description for LTX-00154,A-07,B-129,VEN-036
LTX-00155,2025-06-17T22:45:00,DEP-POLICE,VEN-019,Travel,10.63,Cheque,Description for LTX-00155,A-07,B-790,VEN-029
LTX-00156,2025-04-24T02:00:00,DEP-EDU,VEN-019,Travel,1517.17,Credit Card,Description for LTX-00156,A-06,B-405,VEN-039
LTX-00157,2025-07-16T08:27:00,DEP-FIN,VEN-019,Infrastructure,1126.87,Bank Transfer,Description for LTX-00157,A-08,B-815,VEN-009
LTX-00158,2025-06-13T05:37:00,DEP-POLICE,VEN-019,Infrastructure,1977.08,Credit Card,Description for LTX-00158,A-07,B-891,VEN-011
LTX-00159,2025-10-22T10:37:00,DEP-POLICE,VEN-019,IT,686.12,Credit Card,Description for LTX-00159,A-00,B-933,VEN-071
LTX-00160,2025-02-11T01:07:00,DEP-HEALTH,VEN-019,Supplies,1516.44,Credit Card,Description for LTX-00160,A-02,B-446,VEN-052
LTX-00161,2025-02-05T06:46:00,DEP-EDU,VEN-019,Consulting,122.82,Bank Transfer,Description for LTX-00161,A-05,B-156,VEN-073
LTX-00162,2025-02-20T09:07:00,DEP-POLICE,VEN-019,IT,502.69,Bank Transfer,Description for LTX-00162,A-00,B-114,VEN-083
LTX-00163,2025-12-25T23:26:00,DEP-FIN,VEN-019,Infrastructure,1830.69,Cheque,Description for LTX-00163,A-09,B-423,VEN-079
LTX-00164,2025-04-06T00:21:00,DEP-POLICE,VEN-019,IT,1139.62,Credit Card,Description for LTX-00164,A-08,B-783,VEN-077
LTX-00165,2025-07-23T13:04:00,DEP-EDU,VEN-019,IT,563.0,Cheque,Description for LTX-00165,A-00,B-269,VEN-049
LTX-00166,2025-02-26T21:29:00,DEP-HEALTH,VEN-019,Travel,541.8,Credit Card,Description for LTX-00166,A-08,B-339,VEN-007
LTX-00167,2025-04-11T23:41:00,DEP-EDU,VEN-019,Travel,1911.95,Bank Transfer,Description for LTX-00167,A-07,B-776,VEN-066
LTX-00168,2025-05-25T00:53:00,DEP-PWR,VEN-019,Infrastructure,478.67,Credit Card,Description for LTX-00168,A-05,B-955,VEN-062
LTX-00169,2025-12-01T15:56:00,DEP-PWR,VEN-019,Supplies,639.0,Credit Card,Description for LTX-00169,A-05,B-297,VEN-006
LTX-00170,2025-03-27T16:29:00,DEP-HEALTH,VEN-019,Travel,1816.07,Bank Transfer,Description for LTX-00170,A-05,B-702,VEN-084
LTX-00171,2025-03-31T23:30:00,DEP-FIN,VEN-019,Supplies,244.91,Credit Card,Description for LTX-00171,A-08,B-156,VEN-094
LTX-00172,2025-01-06T20:11:00,DEP-PWR,VEN-019,Supplies,1071.28,Cheque,Description for LTX-00172,A-09,B-400,VEN-018
LTX-00173,2025-05-07T08:59:00,DEP-POLICE,VEN-019,Travel,1951.77,Credit Card,Description for LTX-00173,A-01,B-906,VEN-070
LTX-00174,2025-09-29T04:33:00,DEP-HEALTH,VEN-019,Consulting,1146.75,Bank Transfer,Description for LTX-00174,A-02,B-981,VEN-029
LTX-00175,2025-04-23T13:32:00,DEP-FIN,VEN-019,Travel,139.24,Cheque,Description for LTX-00175,A-08,B-411,VEN-099
LTX-00176,2025-10-10T07:39:00,DEP-HEALTH,VEN-019,IT,294.15,Bank Transfer,Description for LTX-00176,A-09,B-811,VEN-052
LTX-00177,2025-03-18T22:40:00,DEP-PWR,VEN-019,IT,574.59,Cheque,Description for LTX-00177,A-03,B-463,VEN-081
LTX-00178,2025-12-20T12:50:00,DEP-PWR,VEN-019,Supplies,706.43,Cheque,Description for LTX-00178,A-08,B-253,VEN-006
LTX-00179,2025-03-30T19:11:00,DEP-EDU,VEN-019,Travel,392.41,Cheque,Description for LTX-00179,A-09,B-178,VEN-061
LTX-00180,2025-12-31T19:37:00,DEP-HEALTH,VEN-019,IT,1992.81,Cheque,Description for LTX-00180,A-02,B-836,VEN-034
LTX-00181,2025-02-05T22:56:00,DEP-FIN,VEN-019,Travel,1235.18,Cheque,Description for LTX-00181,A-07,B-734,VEN-021
LTX-00182,2025-02-11T22:54:00,DEP-FIN,VEN-019,Supplies,1060.33,Credit Card,Description for LTX-00182,A-08,B-302,VEN-040
LTX-00183,2025-11-11T06:17:00,DEP-PWR,VEN-019,Travel,1095.43,Credit Card,Description for LTX-00183,A-09,B-331,VEN-035
LTX-00184,2025-04-05T22:21:00,DEP-EDU,VEN-019,Supplies,143.24,Bank Transfer,Description for LTX-00184,A-01,B-396,VEN-061
LTX-00185,2025-01-19T14:21:00,DEP-EDU,VEN-019,Supplies,356.83,Credit Card,Description for LTX-00185,A-03,B-527,VEN-004
LTX-00186,2025-01-01T06:59:00,DEP-PWR,VEN-019,Supplies,502.01,Credit Card,Description for LTX-00186,A-00,B-612,VEN-053
